svyid,filecode,record,number
333,MWIR61,RECH2,24825
334,PEGE5IFL,,1132
334,PEIR5I,RECH0,27709
334,PEIR5I,RECH2,26834
336,JOIR61,RECH0,14872
336,JOIR61,RECH2,13577
337,CMGE61FL,,578
337,CMIR60,RECH0,15050
337,CMIR60,RECH2,14214
338,SNGE5AFL,,320
338,SNIR5H,RECH0,10964
338,SNIR5H,RECH2,10651
34,PKIR21,RECH0,8019
34,PKIR21,RECH2,7193
340,TLGE62FL,,455
340,TLIR61,RECH0,12128
340,TLIR61,RECH2,11463
345,TZGE61FL,,475
345,TZIR63,RECH0,10300
345,TZIR63,RECH2,9623
346,BUGE61FL,,376
346,BUIR61,RECH0,9030
346,BUIR61,RECH2,8596
349,BDGE61FL,,600
349,BDIR61,RECH0,17964
349,BDIR61,RECH2,17141
35,IDIR21,RECH0,28141
35,IDIR21,RECH2,26858
354,AMGE61FL,,308
354,AMIR61,RECH0,7580
354,AMIR61,RECH2,6700
356,NPGE61FL,,289
356,NPIR60,RECH0,11353
356,NPIR60,RECH2,10826
357,IDIR62,RECH0,46024
357,IDIR62,RECH2,43852
358,YEIR61,RECH0,19517
358,YEIR61,RECH2,17351
359,ETGE61FL,,596
359,ETIR61,RECH0,17817
359,ETIR61,RECH2,16702
36,YEIR21,RECH0,13712
36,YEIR21,RECH2,12836
361,LBGE61FL,,150
361,LBIR61,RECH0,4492
361,LBIR61,RECH2,4162
362,MZGE61FL,,610
362,MZIR62,RECH0,13964
362,MZIR62,RECH2,13919
363,NMGE61FL,,550
363,NMIR61,RECH0,11004
363,NMIR61,RECH2,9849
364,RWGE61FL,,492
364,RWIR61,RECH0,12792
364,RWIR61,RECH2,12540
365,SNGE61FL,,391
365,SNIR61,RECH0,8212
365,SNIR61,RECH2,7902
367,ZWGE61FL,,406
367,ZWIR62,RECH0,10828
367,ZWIR62,RECH2,9756
368,HTGE61FL,,445
368,HTIR61,RECH0,13388
368,HTIR61,RECH2,13181
369,HNGE61FL,,1148
369,HNIR62,RECH0,23475
369,HNIR62,RECH2,21362
37,DRIR21,RECH0,8975
37,DRIR21,RECH2,7144
38,CMGE23FL,,149
38,CMIR22,RECH0,4272
38,CMIR22,RECH2,3538
381,COGE61FL,,4987
381,COIR61,RECH0,64189
381,COIR61,RECH2,51447
383,KYGE61FL,,316
383,KYIR61,RECH0,8208
383,KYIR61,RECH2,8040
384,TJGE61FL,,356
384,TJIR61,RECH0,6674
384,TJIR61,RECH2,6432
388,CGIR60,RECH0,11727
388,CGIR60,RECH2,11632
391,GNGE61FL,,300
391,GNIR61,RECH0,7200
391,GNIR61,RECH2,7109
392,NGGE61FL,,239
392,NGIR61,RECH0,6197
392,NGIR61,RECH2,5895
395,AOGE61FL,,238
395,AOIR61,RECH0,8806
395,AOIR61,RECH2,8030
396,MDGE61FL,,267
396,MDIR61,RECH0,8544
396,MDIR61,RECH2,8094
397,EGIR61,RECH0,29471
397,EGIR61,RECH2,28175
399,UGGE61FL,,404
399,UGIR60,RECH0,24095
399,UGIR60,RECH2,9033
40,BRIR21,RECH0,7695
40,BRIR21,RECH2,6064
402,GAGE61FL,,336
402,GAIR60,RECH0,10049
402,GAIR60,RECH2,9755
403,JOGE6AFL,,806
403,JOIR6B,RECH0,16120
403,JOIR6B,RECH2,15190
